business_name,phone,Email,Public Contact Person,Address,Rating,Reviews,Distance from Charing Cross (km),Source,Notes
Golden Roofing Expert Ltd,+44 7723 782655,,,"10 Sale Pl, Tyburnia, London W2 1PX",5,468,3.1,Google local business result,Roofing contractor
Victoria Roofing Expert Ltd,+44 7848 256099,,,"188 Camden High St, London NW1 8QP",5,290,3.8,Google local business result,Roofing contractor
J&C Roofing,+44 7307 346912,,,"New N Rd, London N1 7AA",4.9,89,4.2,Google local business result,Roofing contractor
London Roofing Specialist Solutions Ltd,+44 20 7205 4557,,,"Pavilion Kensington, 96 Kensington High St, London W8 4SG",4.7,130,4.5,Google local business result,Roofing contractor
Chelsea & Kensington Roofing,+44 20 3670 0435,,,"23 Hollywood Rd, London SW10 9HT",5,69,4.6,Google local business result,Roofing contractor
N.H.R.B.S. Roofing Services,+44 20 7828 2181,,,"69A Ponsonby Pl, Pimlico, London SW1P 4PP",4.8,70,1.9,Google local business result,Roofing contractor
M&K ROOFING,+44 7378 865279,,,"55 Princes Gate, Exhibition Rd, London SW7 2PN",5,79,3.3,Google local business result,Roofing contractor
London City Roofing,+44 800 488 0683,,,"Fulham West, 36 Glenrosa St, London SW6 2QZ",5,11,5.7,Google local business result,Roofing contractor
High Range Roofing Ltd,+44 20 8485 8975,,,"Dawes Road Hub, 20 Dawes Rd, London SW6 7EN",4.8,71,5.8,Google local business result,Roofing contractor
Roofing R Solutions Ltd,+44 7405 048194,,,"73 Holloway Rd, London N7 8JZ",5,51,4.7,Google local business result,Roofing contractor
Mayfair Roofing,+44 20 3519 2748,,,"23 Hertford St, London W1J 7RZ",4.9,80,1.5,Google local business result,Roofing contractor
Home Restoration Specialists LTD,+44 20 3633 9159,,,"264 Lavender Hill, London SW11 1LJ",4.9,171,5.5,Google local business result,Roofing contractor
Crown And City Contractors Ltd,+44 7983 227960,,,"8 Duncan St, London N1 8BW",5,20,3.3,Google local business result,Roofing contractor
Como Roofing UK Ltd,+44 7534 288217,,,"124 City Rd, London EC1V 2NX",5,10,3.5,Google local business result,Roofing contractor
Hamilton Roofing And Building Limited,+44 20 7205 2087,,,"Unit 23, Townmead Business Centre, William Morris Way, London SW6 2SZ",4.7,26,5.9,Google local business result,Roofing contractor
KRC Roofing And Construction Ltd,+44 7351 882584,,,"124 City Rd, London EC1V 2NX",5,16,3.5,Google local business result,Roofing contractor
Trinity Roofing,+44 20 8485 8214,,,"28 Old Brompton Rd, South Kensington, London SW7 3SS",5,40,3.6,Google local business result,Roofing contractor
Kinson & Birch Roofing Contractors Ltd,020 3966 4113,,,"Arch 141, Macfarlane Road, London W12 7RA",4.5,2,6.9,https://www.yell.com/s/roofing-london.html,Yell; 4.3 mi from London reference
Dulwich Roofing Contractors,020 7733 5265,,,"157 Herne Hill, London SE24 9LR",,,6.4,https://www.yell.com/s/roofing-london.html,Yell; no rating shown
A & E Elkins Ltd,020 8692 4960,,,"Unit 1/A, Elizabeth Trading Estate, Juno Way, London SE14 5RW",1,1,6.3,https://www.yell.com/s/roofing-london.html,Yell; 3.9 mi
Roofers London Ltd,020 7125 0125 / 07888 526686,info@rooferslondonltd.co.uk,,"71-75 Shelton St, London WC2H 9JQ",,,0.8,https://rooferslondonltd.co.uk/booking-request/,"New roofs, repairs, skylights, fibreglass, leadwork"
London City Roofers,0208 168 1696,info@londoncityroofers.co.uk,,London (no street address published),,,,https://londoncityroofers.co.uk/contact/,Serves London and surrounding areas
Roof Repairs London Roofers,020 8798 2658,info@roofrepairslondonroofers.co.uk,,"47 The Alders, Aldrington Road, London SW16 1TW",,,,https://roofrepairslondonroofers.co.uk/,Roof installation and repairs
Total Roofing London Ltd,020 8945 3112,info@totalroofinglondon.com,,"20-22 Wenlock Road, London N1 7GU",,,,https://totalroofinglondon.com/,Family-run; serves central/west London areas
London Roofing Services,020 3633 5850,Info@londonroofingservice.co.uk,,London (no street address on contact page),,,,https://londonroofingservice.co.uk/contact-us/,"New roofs, repairs, flat roofs, skylights, etc."
Professional Polish Builders / Roofers London,07714 993336 / 07594 186866,hubertm@professionalpolishbuilders.co.uk,Hubert M. (public business email name),London (service area; no street address published),,,,https://roofers-london.com/contact/,Roofing solutions across London
London Roofing Ltd,020 7584 9173,londonroofing@londonroofingltd.com,,"64a Wadham Road, London SW15 2LR",4.1,24,,https://www.londonroofingltd.com/,Official contact + local rating; radius should be rechecked before outreach
